Roscosmos,Soyuz 2.1a | Progress MS-11 (72P),StatusActive,48.5 ,Success,2019,Apr,Thu,4,661.0,Kazakhstan
ISRO,PSLV-QL | EMISAT & Rideshares,StatusActive,21.0 ,Success,2019,Apr,Mon,1,237.0,India
CASC,Long March 3B/E | Tianlian-2,StatusActive,29.15 ,Success,2019,Mar,Sun,31,951.0,China
Rocket Lab,Electron/Curie | Two Thumbs Up,StatusActive,7.5 ,Success,2019,Mar,Thu,28,1407.0,New Zealand
OneSpace,OS-M1 | Lingque-1B,StatusActive,nan,Failure,2019,Mar,Wed,27,579.0,China
Arianespace,Vega | PRISMA,StatusActive,37.0 ,Success,2019,Mar,Fri,22,110.0,France
ULA,"Delta IV Medium+ (5,4) | WGS-10",StatusRetired,nan,Success,2019,Mar,Sat,16,26.0,USA
Roscosmos,Soyuz FG | Soyuz MS-12 (58S),StatusRetired,nan,Success,2019,Mar,Thu,14,1154.0,Kazakhstan
CASC,Long March 3B/E | Zhongxing-6C,StatusActive,29.15 ,Success,2019,Mar,Sat,9,988.0,China
Exos,SARGE | Launch 2,StatusActive,nan,Partial Failure,2019,Mar,Sat,2,1065.0,New Mexico
SpaceX,Falcon 9 Block 5 | SpaceX Demo-1,StatusActive,50.0 ,Success,2019,Mar,Sat,2,469.0,USA
Arianespace,Soyuz ST-B/Fregat-M | OneWeb #1,StatusActive,nan,Success,2019,Feb,Wed,27,1297.0,France
SpaceX,Falcon 9 Block 5 | Nusantara Satu & Beresheet,StatusActive,50.0 ,Success,2019,Feb,Fri,22,105.0,USA
VKS RF,Soyuz 2.1b/Fregat-M | EgyptSat-A,StatusActive,nan,Success,2019,Feb,Thu,21,1007.0,Kazakhstan
Arianespace,Ariane 5 ECA | GSAT-31 & Hellas-Sat-4,StatusActive,200.0 ,Success,2019,Feb,Tue,5,1261.0,France
ISA,Safir-1B+ | Dousti,StatusActive,nan,Failure,2019,Feb,Tue,5,nan,Iran
ISRO,PSLV-DL | Microsat-R,StatusActive,nan,Success,2019,Jan,Thu,24,1087.0,India
Blue Origin,New Shepard | NS-10,StatusActive,nan,Success,2019,Jan,Wed,23,905.0,USA
CASC,Long March 11 | Jilin-1 Hyperspectral & Others,StatusActive,5.3 ,Success,2019,Jan,Mon,21,342.0,China
ULA,Delta IV Heavy | NROL-71,StatusActive,350.0 ,Success,2019,Jan,Sat,19,1150.0,USA
JAXA,Epsilon PBS | Innovative Satellite Technology Demonstration-1,StatusActive,39.0 ,Success,2019,Jan,Fri,18,50.0,Japan
ISA,Simorgh | Payam-e Amirkabir,StatusActive,nan,Failure,2019,Jan,Tue,15,30.0,Iran
SpaceX,Falcon 9 Block 5 | Iridium-8,StatusActive,50.0 ,Success,2019,Jan,Fri,11,931.0,USA
